,title,company,location,job_type,languages,soft_skills,skills,degree_type,degree_field,sub_category_1,sub_category_2,sub_category_3,experience_periode,Homeoffice,teilzeit,Vollzeit
17,Technician Data Science,Lohmann GmbH & Co. KG,Neuwied,['Feste Anstellung'],"['german', 'english']",,"['sql', 'python', 'databricks', 'hybrid/multi cloud', 'programming language', 'bi tools', 'data science', 'database', 'data warehouse']",,,IT,Data & AI,Data Science,,False,False,True
18,Software Data Science Development Projection Optics,ZEISS,Oberkochen (Baden-Württemberg),"['Studentenjobs', 'Werkstudent']",,,['data science'],['degree'],['business'],IT,Data & AI,Data Science,,False,True,False
19,Computer Scientist Data Science Technical Consultant Artificial Intelligence-Based Document Analysis,Paradatec Gesellschaft für parallele Datentechnik mbH,Braunschweig,['Feste Anstellung'],,"['team player', 'communicates', 'management', 'communication']","['sql', 'python', 'google cloud platform', 'programming language', 'data science', 'analytics techniques', 'database']",['degree'],"['economic', 'technical']",IT,Data & AI,Data Science,,True,False,True
20,Data Science Artificial Intelligence Cooperation Dual School Baden-Württemberg,Mercedes-Benz Tech Innovation,Ulm,"['Ausbildung', 'Studium']",,['management'],['data science'],,,IT,Data & AI,Data Science,,True,False,True
21,Data Science Artificial Intelligence Cooperation Dual School Baden-Württemberg,Mercedes-Benz Tech Innovation,Baden-Württemberg,"['Ausbildung', 'Studium']",,['management'],['data science'],,,IT,Data & AI,Data Science,,True,False,True
22,Promantic Data Science Area Examination -Related Advice Quants,EY Deutschland,Frankfurt/Main,['Praktikum'],,"['analytical', 'management']","['excel', 'tableau', 'ms office', 'bi tools', 'data science', 'data warehouse']",['degree'],['business'],IT,Data & AI,Data Science,,True,False,True
23,Data Science - Vehicle Data Advanced Analytics,Daimler Buses GmbH,"Neu-Ulm, Mannheim",['Praktikum'],"['german', 'english']","['analytical', 'communication']","['excel', 'data science']",,,IT,Data & AI,Data Science,6m,False,False,True
24,Business Informatics Data Science Stuttgart,Mercedes-Benz Group AG,Esslingen am Neckar,"['Ausbildung', 'Studium']",['german'],,"['python', 'azure', 'programming language']",,,IT,Data & AI,Data Science,12m,True,False,True
25,Business Informatics Data Science Campus Model Germersheim Stuttgart,Mercedes-Benz AG,"Germersheim, Stuttgart","['Ausbildung', 'Studium']",,"['analytical', 'communication']",['data science'],"['bachelor', 'master']","['economic', 'technical', 'computer science', 'business']",IT,Data & AI,Data Science,6m,True,False,True
26,Mathematics Person Reinsurance Data Science,Hannover Rück SE,Hannover,['Berufseinstieg/Trainee'],,['communication'],"['python', 'sql', 'programming language', 'database']",,,IT,Data & AI,Data Science,,True,False,True
27,- Data Science Artificial Intelligence Autumn,ZEISS,Oberkochen (Baden-Württemberg),"['Ausbildung', 'Studium']",,"['management', 'communication']",['data science'],,,IT,Data & AI,Data Science,,False,False,True
28,Dual Studies Data Science Controlling - Start Healthcare,BARMER,Wuppertal,"['Ausbildung', 'Studium']",,"['management', 'communication', 'initiative']","['vba', 'python', 'sql', 'programming language', 'data science', 'database']","['master', 'degree']",['engineering'],IT,Data & AI,Data Science,,True,True,True
29,- Data Science Artificial Intelligence,Schaeffler Technologies AG & Co. KG,Herzogenaurach,"['Ausbildung', 'Studium']","['german', 'english']",,['ms office'],['degree'],"['economic', 'engineering']",IT,Data & AI,Data Science,,False,False,True
30,Consultant Data Science,MID GmbH,Nürnberg,['Feste Anstellung'],,"['analytical', 'attention to detail']","['excel', 'tableau', 'sql', 'programming language', 'bi tools', 'database']","['certification', 'degree']","['economic', 'technical']",IT,Data & AI,Data Science,8y,False,False,True
31,Data Analyst Data Science Area,Publicis Media GmbH,Düsseldorf,['Feste Anstellung'],,"['analytical', 'management', 'communication']","['python', 'r', 'sql', 'programming language', 'data science', 'database']",,,IT,Data & AI,Data Analysis,,False,False,True
32,Pre-Sales Consultant Data Science Artificial Intelligence Bi,Comma Soft AG,Bonn,['Feste Anstellung'],['english'],"['team player', 'communicates', 'communication']","['sql', 'programming language', 'data science', 'ml techniques', 'database', 'data warehouse']",['master'],"['economic', 'computer science', 'business']",Business,Sales & Marketing,Sales,,True,False,True
33,Data Science Solutions Area,Schaeffler Vehicle Lifetimes Solutions Germany GmbH & Co. KG,Frankfurt am Main,"['Studentenjobs', 'Werkstudent']",,"['creativity', 'adaptability', 'communication']","['python', 'sql', 'databricks', 'snowflake', 'programming language', 'data science', 'analytics techniques', 'database', 'data warehouse']",,,IT,Data & AI,Data Science,5y,False,True,False
34,Full-Stack Data Analytics Data Science Expert Im Competence ,Mercedes-Benz AG,Stuttgart,['Feste Anstellung'],"['german', 'english']",['communication'],"['data science', 'full-stack']",,,IT,Data & AI,Data Science,,True,True,True
35,Full-Stack Data Analytics Data Science Expert Im Competence ,Mercedes-Benz AG,Stuttgart,['Feste Anstellung'],,"['analytical', 'management']","['data foundation', 'data science']",['degree'],"['technical', 'computer science', 'business']",IT,Data & AI,Data Science,,True,True,True
36,Applied Data Science,SRH University,München,['Feste Anstellung'],"['german', 'english']",['communication'],"['sql', 'programming language', 'data engineering', 'bi tools', 'data science', 'database']","['bachelor', 'master', 'degree']","['economic', 'engineering', 'technical', 'business']",IT,Data & AI,Data Science,,True,False,True
37,Consultant Data Science Artificial Intelligence,Capgemini Invent,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart",['Feste Anstellung'],"['german', 'english']",,"['python', 'azure', 'programming language', 'data science']",['degree'],"['computer science', 'business']",IT,Data & AI,Data Science,,False,False,True
38,Artificial Intelligence Data Science Engineer,GBTEC Software AG,Bochum,['Feste Anstellung'],"['german', 'english']",['analytical'],"['ms office', 'excel', 'word', 'data science']",,,IT,Data & AI,Data Science,,True,False,True
39,Data Science,Lidl Stiftung & Co. KG,Neckarsulm,['Praktikum'],"['german', 'english']",['analytical'],"['python', 'r', 'java', 'azure', 'aws', 'kubernetes', 'containerization', 'programming language', 'data pipeline tool', 'devops/mlops', 'data science', 'big data tool']",,,IT,Data & AI,Data Science,,False,False,True
40,Mathematician Actuar Data Science Pricing Risk Management Solvency Ii,Meyerthole Siems Kohlruss Ges. für aktuarielle Beratung mbH,Köln,"['Berufseinstieg/Trainee', 'Feste Anstellung']",,"['collaboration', 'initiative']","['risk management', 'data science']",,,IT,Data & AI,Data Science,3y,False,False,True
41,Consultant Manager Artificial Intelligence Data Scientist Artificial Intelligence Garage,Capgemini Invent,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart",['Feste Anstellung'],"['german', 'english']","['management', 'initiative']","['sql', 'excel', 'python', 'ci/cd', 'aws', 'programming language', 'data engineering', 'devops/mlops', 'bi tools', 'data science', 'database']",['degree'],"['economic', 'engineering', 'computer science']",IT,Data & AI,Data Science,5y,False,False,True
42,Bi Data Architect,Arsipa GmbH,Berlin,['Feste Anstellung'],,"['communicates', 'management', 'communication']",['data science'],,,IT,Data & AI,BI,,True,False,True
43,Data Scientist,Rhenus Group,bundesweit,['Feste Anstellung'],['german'],,"['gpt', 'langchain', 'tensorflow', 'pytorch', 'azure', 'aws', 'cloud computing', 'programming language', 'data science', 'ml techniques', 'ml/ai framework']",,,IT,Data & AI,Data Science,,False,False,True
44,Data Scientist,WÜSTHOF GmbH,Solingen,['Feste Anstellung'],,"['management', 'communication']",['data science'],,,IT,Data & AI,Data Science,,True,False,True
45,Actuarial Data Scientist Aktuar Mathematiker Im Pricing,HUK-COBURG Versicherungsgruppe,Coburg,['Feste Anstellung'],"['german', 'english']",['communication'],"['ci/cd', 'data science']",,,IT,Data & AI,Data Science,,False,True,True
46,Solution Consultant Data Process Integration Services Master Data Management,Henkell & Co. Sektkellerei KG,Wiesbaden,['Feste Anstellung'],"['german', 'english']",,"['azure', 'python', 'sql', 'containerization', 'ci/cd', 'programming language', 'data science', 'database']",,,IT,Data & AI,Data Analysis,,True,False,True
47,Data Analyst Finance Controlling -,PROLOGA GmbH,"bundesweit, Home-Office",['Feste Anstellung'],,"['management', 'initiative']","['ms office', 'excel', 'sap', 'ai/data strategy', 'programming language', 'bi tools', 'data science']",['degree'],['business'],IT,Data & AI,Data Analysis,,True,True,True
48,Data Engineers Analysts Scientists,BridgingIT GmbH,"München, Mannheim, Nürnberg, Stuttgart",['Feste Anstellung'],['german'],['management'],['data science'],,,IT,Data & AI,Data Science,,True,True,True
49,Data Scientist,Deutscher Reisesicherungsfonds GmbH,Berlin,['Feste Anstellung'],"['german', 'english']","['management', 'initiative']","['sql', 'ms office', 'tableau', 'programming language', 'bi tools', 'data science', 'database']",['degree'],"['economic', 'technical', 'computer science']",IT,Data & AI,Data Science,,True,False,True
50,Specialist Area Software Development Frontend Backend,PD - Berater der öffentlichen Hand GmbH,"Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Nürnberg, Stuttgart, Wiesbaden",['Feste Anstellung'],"['german', 'english']","['management', 'communication']",['data science'],,,IT,Software Development,Backend Development,,True,True,True
51,Data Scientist Digital Solutions Investment,Allianz Investment Management SE,München,['Feste Anstellung'],"['german', 'english']",['communication'],"['ms office', 'data science']","[""master's"", 'degree']","['economic', 'technical']",IT,Data & AI,Data Science,5y,True,False,True
52,It Systems Architect - Salesforce Integration,LIGNOTREND Produktions GmbH,Weilheim,['Feste Anstellung'],['english'],['communication'],"['programming language', 'bi tools']",,,IT,QA & Testing,Automation Testing,,True,False,True
53,Data Scientist,ALD AutoLeasing D GmbH,Hamburg,['Feste Anstellung'],"['german', 'english']",['management'],"['programming language', 'data science']","['bachelor', ""master's"", 'degree']","['engineering', 'computer science', 'business']",IT,Data & AI,Data Science,,True,False,True
54,Data Scientist,monari GmbH,Gronau,['Feste Anstellung'],['english'],"['communication', 'initiative']",['data scientist'],,,IT,Data & AI,Data Science,,True,False,True
55,Data Business Intelligence Manager,IONITY GmbH,München,['Feste Anstellung'],"['german', 'english']","['analytical', 'communication', 'initiative']","['python', 'pandas', 'databricks', 'sql', 'azure', 'programming language', 'data science', 'ml/ai framework', 'big data tool', 'database', 'data warehouse']",['master'],"['engineering', 'technical', 'business']",IT,Data & AI,BI,,False,False,True
56,Software Developer,ZS 2radteile GmbH,Vorbach,['Feste Anstellung'],['german'],['communication'],['ms office'],,,IT,Software Development,Full-Stack Development,,True,False,True
57,Data Scientist,tesa Werk Hamburg GmbH,Hamburg,['Feste Anstellung'],"['german', 'english']","['analytical', 'communication']",['data scientist'],,,IT,Data & AI,Data Science,,False,False,True
58,Consultant Artificial Intelligence,adesso SE,"Aachen, Bonn, Dortmund, Düsseldorf, Essen, Frankfurt, Hannover, Köln, Münster, Paderborn, Siegen",['Feste Anstellung'],"['german', 'english']",,['artificial intelligence'],,,IT,Data & AI,"AI, LLM & NLP",,True,False,True
59,Data Scientist Artificial Intelligence Engineer,HMS Analytical Software GmbH,Berlin,['Feste Anstellung'],"['german', 'english']",['initiative'],"['data science', 'ml techniques']","['master', 'diploma', 'degree']","['computer science', 'business']",IT,Data & AI,Data Science,,True,True,True
60,Fullstack Developer,CANCOM SE,"München, Hannover, Hamburg",['Feste Anstellung'],['english'],['team player'],['ms office'],,,IT,Software Development,Frontend Development,,True,False,True
61,- Artificial Intelligence Development 01 09,Läpple Automotive GmbH,Heilbronn,"['Studentenjobs', 'Werkstudent']",,"['analytical', 'initiative']","['python', 'programming language', 'data science']","[""bachelor's"", 'degree']","['computer science', 'business']",IT,Data & AI,"AI, LLM & NLP",,False,True,False
62,Data Scientist Sales Management,Volksbank Mönchengladbach eG,Mönchengladbach,['Feste Anstellung'],,,['data scientist'],,,IT,Data & AI,Data Science,,True,False,True
63,Clinical Data Manager Medical Documentary,Universitätsklinikum Tübingen,Tübingen,['Befristeter Vertrag'],,['management'],['risk management'],,,Healthcare,Pharmacy & Labs,Pharmacy & Labs,,False,True,True
64,Independent Research ,Deutsches Krebsforschungszentrum DKFZ,Freiburg im Breisgau,['Feste Anstellung'],,['analytical'],"['sql', 'python', 'programming language', 'bi tools', 'data science', 'database']",,,Education,University & Research,University & Research,,True,True,True
65,Artificial Intelligence Literacy Manager,Madsack Verlags- und Redaktionsgesellschaft Hannover mbH & Co. KG,Hannover,['Feste Anstellung'],"['german', 'english']","['management', 'communication']",['data science'],,,IT,Data & AI,"AI, LLM & NLP",,True,False,True
66,Temporary Help Artificial Intelligence- Chatgpt-Expertise,Max-Planck-Institut für Quantenoptik,Garching bei München,['Befristeter Vertrag'],['german'],,['word'],,,IT,Data & AI,"AI, LLM & NLP",,True,True,False
67,Data Steward,Karlsruher Institut für Technologie (KIT) Campus Nord,Eggenstein-Leopoldshafen,['Befristeter Vertrag'],,"['communication', 'initiative']",['programming language'],['degree'],['computer science'],IT,Data & AI,Data Analysis,,True,False,True
68,Artificial Intelligence Consultant,Madsack Verlags- und Redaktionsgesellschaft Hannover mbH & Co. KG,Hannover,['Feste Anstellung'],['english'],['leadership'],"['python', 'programming language', 'devops/mlops', 'data science']","['phd', 'degree']","['engineering', 'computer science']",IT,Data & AI,"AI, LLM & NLP",8y,True,False,True
69,Enterprise Data Architect,IDS GmbH - Analysis and Reporting Services,München,['Feste Anstellung'],"['german', 'english']","['analytical', 'management', 'communication']",['data science'],['degree'],"['technical', 'computer science', 'business']",IT,Data & AI,Data Analysis,,True,False,True
70,Artificial Intelligence Data Architect,Vitakraft pet care GmbH & Co. KG,Bremen,['Feste Anstellung'],"['german', 'english']",['communication'],"['java', 'php', 'python', 'ruby', 'programming language', 'database']",,,IT,Data & AI,Data Science,,False,False,True
71,Project Management Strategy Aftersales,Rohde & Schwarz GmbH & Co. KG,München,"['Studentenjobs', 'Werkstudent']",['german'],['team player'],"['python', 'azure', 'databricks', 'programming language', 'data warehouse']",,,Project Manager,Project Manager,Project Manager,6m,True,True,False
72,Artificial Intelligence Engineer Artificial Intelligence-Ingenieur Data Scientist,"SHS-Stahl-Holding-Saar, GmbH & Co. KGaA","Völklingen, Dillingen an der Donau",['Feste Anstellung'],,"['creativity', 'analytical', 'communication', 'initiative']",['data scientist'],,,IT,Data & AI,Data Science,,True,False,True
73,Data Engineer Scientist Analyst,EVAGO Digital GmbH,Fürth,['Feste Anstellung'],['german'],['communication'],"['r', 'python', 'programming language', 'data science']","[""master's"", 'degree']",['business'],IT,Data & AI,Data Engineering,,False,False,True
74,Artificial Intelligence Specialist,SGS Holding Deutschland B.V. & Co. KG,Hamburg,['Feste Anstellung'],['german'],"['analytical', 'communication', 'initiative']",['artificial intelligence'],"[""bachelor's"", 'degree']",['economic'],IT,Data & AI,"AI, LLM & NLP",,True,False,True
76,Cloud-Engineer,Bundesamt für Kartographie und Geodäsie (BKG),"Frankfurt am Main, Leipzig",['Befristeter Vertrag'],"['german', 'english']","['communicates', 'communication']","['python', 'r', 'pandas', 'pytorch', 'sql', 'programming language', 'devops/mlops', 'data science', 'ml techniques', 'ml/ai framework', 'database']",,,IT,DevOps & Cloud,Cloud Engineering,,True,True,True
77,Data Scientist Data Engineer Artificial Intelligence-Experte,MAIREC Edelmetallgesellschaft mbH,Alzenau,['Feste Anstellung'],"['german', 'english']",['communication'],"['excel', 'sql', 'python', 'pandas', 'programming language', 'database']",,,IT,Data & AI,Data Science,3y,False,False,True
78,- Artificial Intelligence Models Area Internal Audit Künzelsau,Würth Deutschland,Künzelsau,"['Studentenjobs', 'Werkstudent']","['german', 'english']","['management', 'communication']","['data foundation', 'azure', 'bi tools', 'data science']","[""bachelor's"", 'degree']",['business'],IT,Data & AI,"AI, LLM & NLP",,False,True,False
79,Data Analytics Consultant,Drescher Consulting GmbH,Stuttgart,['Feste Anstellung'],"['german', 'english']","['problem solving', 'analytical', 'management', 'communication']","['javascript', 'databricks', 'hybrid/multi cloud', 'programming language', 'ml techniques', 'data warehouse']",['degree'],"['economic', 'engineering', 'technical', 'computer science']",IT,Data & AI,Data Analysis,,True,False,True
80,Data Engineer Field Data Management,Liebherr-Rostock GmbH,Rostock,['Feste Anstellung'],['english'],,"['python', 'tableau', 'programming language', 'bi tools', 'data science']",,,IT,Data & AI,Data Engineering,,True,False,True
81,Data Scientist Machine Learning Engineer,Verivox GmbH,"Heidelberg, München, Berlin, Leipzig",['Feste Anstellung'],"['german', 'english']",,"['pytorch', 'numpy', 'spark', 'kafka', 'aws', 'azure', 'gcp', 'ms office', 'data pipeline tool', 'ml/ai framework', 'big data tool', 'database']","['bachelor', 'master', 'degree']",['technical'],IT,Data & AI,Data Science,,True,False,True
82,Consultant Management Advice - Artificial Intelligence,Star Cooperation GmbH,Böblingen,['Feste Anstellung'],,,"['python', 'java', 'aws', 'azure', 'programming language', 'ml techniques', 'database']",,,IT,Data & AI,"AI, LLM & NLP",,False,False,True
83,Project Coordination Communication Management,Mercedes-Benz Tech Innovation,Ulm,"['Studentenjobs', 'Werkstudent']","['german', 'english']",,"['python', 'scala', 'sql', 'programming language', 'ml/ai framework', 'big data tool', 'database']",,,IT,Data & AI,Data Analysis,,True,True,False
84,Data Engineer Architect,Ernsting’s family,Coesfeld-Lette bei Münster,['Feste Anstellung'],,,['data engineer'],,,IT,Data & AI,Data Engineering,,True,False,True
85,Data Scientist E-Commerce,Ernsting’s family,Coesfeld-Lette bei Münster,['Feste Anstellung'],,,['data scientist'],,,IT,Data & AI,Data Science,,False,False,True
86,Data Analysis Area Product Management Emobility September,Daimler Buses GmbH,Mannheim,['Praktikum'],"['german', 'english']",['management'],"['python', 'ai/data strategy', 'data foundation', 'programming language', 'data science']",,,IT,Data & AI,Data Analysis,,False,False,True
87,Real Estate Clerk Man Business Analyst Data Management,Vonovia,Bochum,['Feste Anstellung'],"['german', 'english']",,"['python', 'sql', 'power bi', 'aws', 'gcp', 'azure', 'dbt', 'programming language', 'dbt (data build tool)', 'bi tools', 'data science', 'database']",,,IT,Data & AI,Data Analysis,,True,False,True
88,Project Coordination Communication Management,Mercedes-Benz Tech Innovation,Stuttgart,"['Studentenjobs', 'Werkstudent']","['german', 'english']",,"['python', 'scala', 'sql', 'programming language', 'ml/ai framework', 'big data tool', 'database']",,,IT,Data & AI,Data Analysis,,True,True,False
89,Sr Marketing Data Scientist,N26 GmbH,Berlin,['Feste Anstellung'],,,"['python', 'programming language', 'data science', 'use case', 'analytics techniques', 'ml techniques', 'ml/ai framework']",['degree'],['computer science'],IT,Data & AI,Data Science,2y,True,False,True
90,Data Analyst Commercial,Stepstone GmbH,Düsseldorf,['Feste Anstellung'],,"['analytical', 'management']","['python', 'r', 'programming language', 'data science']","[""master's"", 'degree']",['computer science'],IT,Data & AI,Data Analysis,,True,False,True
91,Engineering Health Performance,Schwarz IT,Heilbronn,['Feste Anstellung'],"['german', 'english']","['communicates', 'analytical', 'management', 'communication']","['data foundation', 'data science']","['master', 'degree']",['business'],Engineering,Electrical Engineering,Electrical Engineering,5y,False,False,True
92,Field Data Analytics,Heilpflanzenwohl AG,Berlin,"['Studentenjobs', 'Werkstudent']","['german', 'english']",['communication'],"['python', 'tableau', 'matplotlib', 'seaborn', 'sql', 'aws', 'gcp', 'azure', 'programming language', 'bi tools', 'data science', 'database']",['master'],['technical'],IT,Data & AI,Data Analysis,,True,True,False
93,Expert Bcbs Development Smart Data ,VR Smart Finanz AG,Eschborn,['Feste Anstellung'],"['german', 'english']","['communicates', 'communication']","['python', 'kubernetes', 'containerization', 'programming language']",,,IT,Data & AI,Data Analysis,,True,True,True
94,Generative Artificial Intelligence - Google Cloud,Reply,"Berlin, Düsseldorf, Gütersloh, Köln, Hamburg","['Studentenjobs', 'Werkstudent']",,"['team player', 'management']","['python', 'java', 'azure', 'aws', 'terraform', 'kubernetes', 'containerization', 'programming language', 'iac', 'data science']",['degree'],"['technical', 'computer science', 'business']",IT,Data & AI,"AI, LLM & NLP",5y,True,True,False
95,Data Analysis Powerbi,BRUSA ELEKTRONIK (München) GmbH,München,['Praktikum'],,['communication'],"['python', 'r', 'java', 'programming language', 'data science']",,,IT,Data & AI,Data Analysis,,False,True,True
97,Data Engineer Artificial Intelligence Advanced Analytics Projects Field Information Systems,Liebherr-Aerospace Lindenberg GmbH,Lindenberg,['Feste Anstellung'],,"['analytical', 'creativity']","['python', 'r', 'sql', 'power bi', 'tableau', 'programming language', 'bi tools', 'data science', 'ml/ai framework', 'database']",['degree'],['computer science'],IT,Data & AI,Data Engineering,,True,False,True
98,Data Scientist Artificial Intelligence C24 Bank,CHECK24,Frankfurt,['Feste Anstellung'],,,"['python', 'sql', 'programming language', 'bi tools', 'data science', 'machine learning type', 'ml techniques', 'database']",['degree'],"['engineering', 'technical', 'computer science', 'business']",IT,Data & AI,Data Science,2y,False,False,True
99,Wiss Employee Specialist Artificial Intelligence Services,Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen,Gelsenkirchen,['Befristeter Vertrag'],"['german', 'english']",['communicates'],"['kubernetes', 'containerization', 'programming language', 'data pipeline tool', 'big data tool']",,,IT,Data & AI,"AI, LLM & NLP",,False,False,True
100,Business Analyst,FOND OF GmbH,Köln,['Feste Anstellung'],,,['data science'],['master'],"['engineering', 'technical', 'computer science']",IT,Cybersecurity,Security Engineering,3y,False,False,True
101,Business Intelligence Data Consultant Microsoft Solutions,Reply,"Hamburg, Köln, München, Berlin, bundesweit",['Feste Anstellung'],"['german', 'english']","['analytical', 'management', 'communication']","['python', 'r', 'kubernetes', 'containerization', 'azure', 'aws', 'programming language', 'data pipeline tool', 'devops/mlops', 'data science', 'big data tool']",,,IT,Data & AI,BI,,True,False,True
102,Media Application Manager System Engineer -,Publicis Media GmbH,Düsseldorf,['Feste Anstellung'],"['german', 'english']",,"['pytorch', 'langchain', 'sql', 'cloud computing', 'containerization', 'azure', 'programming language', 'data science', 'ml/ai framework', 'database']",,,Engineering,Industrial & Systems,Industrial & Systems,3y,True,False,True
103,Business Intelligence,Madsack Markt & Media Service GmbH,Hannover,"['Studentenjobs', 'Werkstudent']",,,['data science'],,,IT,Data & AI,BI,,False,True,False
104,Backend Developer,hsag Heidelberger Services AG,Walldorf,['Feste Anstellung'],"['german', 'english']","['management', 'communication']","['sql', 'r', 'data foundation', 'programming language', 'data science', 'database']",['b.sc'],['computer science'],IT,Software Development,Backend Development,,True,False,True
105,Consultant Data Strategy Governance,PROCON IT GmbH,"Garching, Augsburg",['Feste Anstellung'],,,['data science'],['degree'],"['engineering', 'technical', 'computer science']",IT,Data & AI,Data Analysis,,True,False,True
106,Business Development Cpo Office,DFMG Deutsche Funkturm GmbH,Leverkusen,"['Studentenjobs', 'Werkstudent']",,['leadership'],[],,,Business,Sales & Marketing,Sales,3y,True,True,False
107,Expert Data Scientist Decision Intelligence,bonprix Handelsgesellschaft mbH,Hamburg,['Feste Anstellung'],"['german', 'english']","['analytical', 'communication', 'initiative']",['data science'],['degree'],"['engineering', 'computer science', 'business']",IT,Data & AI,Data Science,,True,False,True
108,Artificial Intelligence-Specialist,Krinner GmbH,Straßkirchen,['Feste Anstellung'],,['management'],"['r', 'python', 'data foundation', 'programming language', 'data science']","['diploma', 'master', 'degree']",['computer science'],IT,Data & AI,"AI, LLM & NLP",,True,False,True
109,Phd Machine Learning Oncology,Deutsches Krebsforschungszentrum DKFZ,Frankfurt am Main,['Promotion/Habilitation'],,['communication'],['data science'],['degree'],"['economic', 'technical', 'business']",IT,Data & AI,Machine Learning,,True,False,True
110,Data Scientist Experimentation,bonprix Handelsgesellschaft mbH,Hamburg,['Feste Anstellung'],,"['leadership', 'analytical', 'management', 'communication']","['azure', 'power bi', 'tableau', 'qlik', 'data foundation', 'regulatory data', 'cloud computing', 'ci/cd', 'data engineering', 'data pipeline tool', 'devops/mlops', 'bi tools', 'data science', 'data warehouse']","['master', 'degree']","['engineering', 'technical', 'computer science', 'business']",IT,Data & AI,Data Science,10y,True,False,True
