title,company,location,job_type,employment_type,description,requirements
Junior Business Expert SAP S/4HANA Record to Report EMEA Hub (f/m/x),ZEISS,"Aalen (Baden-Württemberg), Oberkochen",Feste Anstellung,Vollzeit,"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.Join us today. Inspire people tomorrow.Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.Apply now! It takes less than 10 minutes.","Relevant professional experience driving business processes within Green/Brownfield transformation programsGood understanding of the end-to-end business processes for plan to produce & quality managementUnderstanding of ERP systems, specifically SAP S/4HANA, with an emphasis on FI/COBackground in the analysis of business requirements along with business process modelingEstablished history of overseeing complex projects in major international firms and with various stakeholdersResults-focused and conceptual working style, with meticulous attention to detailExcellent communication skillsExceptional English communication skills, both spoken and written; familiarity with German or other languages is a bonus"
Procurement Excellence Manager (f/m/x),ZEISS,"Oberkochen (Baden-Württemberg), Berlin, Jena",Feste Anstellung,Vollzeit,"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.Join us today. Inspire people tomorrow.Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.Apply now! It takes less than 10 minutes.","Procurement professional with 5+ years of experience in consulting or international matrix environments, with strengths in designing and implementing effective organization, processes and modern procurement tools at a global levelExperienced in implementing or managing processes in regard to source-to contract, purchase-to-pay and/or global business servicesExcellent communication skills and capability to animate diverse and demanding stakeholders to foster collaborations, implement best practices, and drive continuous improvement.Service-oriented capability to bring a strategic vision and hands-on contribution to achieve goalsAnalytical, fact based, strong conceptual skills and able to make solid business casesFluent in English and preferable a 2nd language like German or FrenchGood knowledge in SAP-MM and MS-Office"
Duales Studium – Wirtschaftsinformatik (m/w/d) 2026,Fresenius SE & Co. KGaA,Bad Homburg bei Frankfurt,"Ausbildung, Studium",Vollzeit,"Fresenius – Committed to life!Wir retten und verbessern Menschenleben mit erschwinglichen, zugänglichen und innovativen Gesundheitsprodukten und höchster Qualität in der klinischen Versorgung. Fresenius besteht aus den operativen Unternehmensbereichen Fresenius Kabi und Fresenius Helios. Fresenius Helios ist mit 140 Krankenhäusern und zahlreichen ambulanten Einrichtungen der führende private Krankenhausbetreiber in Deutschland und Spanien und behandelt jährlich rund 26 Millionen Patienten. Das Produktportfolio von Fresenius Kabi umfasst hochkomplexe Biopharmazeutika, klinische Ernährung, medizintechnische Produkte und generische intravenöse Arzneimittel und versorgt jährlich 450 Millionen Menschen.Ausbildungsbeginn: 27.07.2026Du brennst für die Kombi aus BWL und IT? Du möchtest in einem weltweiten Gesundheitsunternehmen innovativ durchstarten? Deine Mission: Sinnvolle Beiträge leisten und die Digitalisierung vorantreiben. Werde unser nächster Gamechanger!","Deine Leidenschaft gilt der Wirtschaft und IT.Du hast mindestens eine Fachhochschulreife.Du bist offen, deine Praxisphasen bei uns in Bad Homburg und deine Theoriephasen inMannheimzu verbringen.Du hast das Ziel, in 3 Jahren den Abschluss „Bachelor of Science (B. Sc.) – Wirtschaftsinformatik, Fachrichtung Application Management, Digital Health, International Management for Business & Information Technology, Sales & Consulting oder Software Engineering“ (m/w/d) zu erhalten."
Quantitative Risk Analyst (m/f/d),ProCredit Holding AG,Frankfurt am Main,Feste Anstellung,"Homeoffice möglich, Vollzeit","ProCredit. We are an international group of development-oriented commercial banks for micro, small and medium enterprises (MSME). We are active in Southeastern and Eastern Europe, South America and Germany. Our overarching goal is to combine a high developmental impact with economic success. This position is based in Frankfurt am Main at ProCredit Holding, the listed parent company of our banking group.For our Group Credit Risk Management team, we are seeking a motivatedQuantitative Risk Analyst (m/f/d)The Group Credit Risk Management team is responsible for assessing and managing the ProCredit group’s Credit Risk arising from lending to our target group of MSMEs and private individuals. The team’s overall responsibilities include defining the group credit risk management framework, assessing the credit risk for individual loan exposures, monitoring and assessing the portfolio development, and quantifying credit risk.","A degree in a quantitative discipline (e.g. Finance, Economics, Mathematics, Statistics) from a university, including a university of applied sciencesStrong analytical skills and the ability to understand and communicate complex relationships and topicsStrong critical thinking and analytical skills to identify the strengths and weaknesses of current and alternative solutions, conclusions or approaches to problemsKnowledge of empirical methods and experience in the practical application and use of statistical methodsExperience in the efficient handling and management of large data sets, databases and data warehouses would be an advantageKnowledge of and practical experience with statistical software packages and programming languages (e.g. Stata, R, Python)Good knowledge of SQL would be an advantageStrong command of written and spoken EnglishAbility to work meticulously both independently and as part of a team"
"Working Student—Talent Management Unit (Project Leader, Principal & Partner) (all genders)",The Boston Consulting Group GmbH - BCG,"München, Düsseldorf","Studentenjobs, Werkstudent","Homeoffice möglich, Teilzeit","Our strategy? To be anything but typical strategy consultants! Our unconventional nature is embedded deep in our DNA. Over 60 years ago, BCG shook up the world of strategy consulting. Now, it has grown to become one of the world leaders in the field. How do we manage to stay ahead of the pack? The answer is simple: by reinventing ourselves every day and providing a home with diverse career opportunities to the best talent and most creative minds all over the world. And by giving you the chance to make an impact in business and society. BCG stands for authenticity, exceptional work, and strong integrity. Once you’ve become part of the Group, we’ll help you find your path, unleash your potential, effect change, and advance the world.#jointhegroupOur most vital resource is our people. That’s why Human Resources is one of our most vital teams: From recruiting to career development for BCGers, from training and mobility support to staffing (assigning our consultants to client casework), the Human Resources Team plays a decisive role in making BCG not just a company, but a Group in which every employee can become their best.","YOU BRING (EXPERIENCE AND QUALIFICATIONS)You are enrolled as a full-time student, ideally majoring in Business, Social Sciences, or the Humanities.You have completed internships or gained some practical experience in a service-oriented field.You are highly motivated and perform your assigned tasks independently and with strong dedication.You have excellent team and communication skills and a service mentality.You are proficient in the MS Office package, especially Excel.Very good written and spoken German and English language skills complete your profile."
PhD Candidate (f/m/d) – Collaborative Research Center Foundations of Circadian Medicine,Charité - Universitätsmedizin Berlin,Berlin,Promotion/Habilitation,Teilzeit,"PhD Candidate (f/m/d) Collaborative Research Center - Foundations of Circadian MedicineCampus Charité Mitte, Campus Virchow-Klinikum, WeddingWork time part-time | Occupation group Research | Employment period limitedWorking at CharitéAs part of the DFG-funded Collaborative Research Center “Foundations of Circadian Medicine”, we offer an exciting opportunity for a PhD position (f/m/d) within an interdisciplinary research project. The CRC aims to investigate fundamental principles and molecular mechanisms that link circadian rhythms to health and disease across various organs and clinical contexts. This research forms the basis for developing novel diagnostic, preventive, and therapeutic strategies for use in circadian medicine. An overview of all CRC projects and detailed descriptions can be found on our career page.","Excellent Master’s degree in a relevant field (e.g., life sciences, medicine, public health, statistics, bioinformatics)Strong interest in circadian biology, molecular medical research, or digital healthDepending on the project, experience in one or more of the following areas is beneficial: cell culture, animal models, molecular analysis, sensor technology, or data analysis (e.g., R, Python, mass spectrometry, bioinformatics)Very good command of English (German language skills may be required depending on the project)A collaborative mindset, independent working style, and genuine scientific curiosity"
Cloud Acceleration Architect,Adobe Systems Europe Limited,"Munich, Bavaria, Germany, Berlin, Berlin, Germany, Remote, Germany, Hamburg, Hamburg, Germany,",Feste Anstellung,Vollzeit,"Our CompanyChanging the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!We’re a fast-paced, solution-oriented, light-hearted crew that works together, gets the job done, and never takes ourselves too seriously. It’s like a startup, without the capital. We love taking on challenges and delivering smart solutions to complex problems.About AdobeAt Adobe, we’re changing the world through Digital Experiences. We give people the tools to bring their ideas to life and create content that makes life more fun and work more meaningful. We empower businesses and organizations to truly engage their customers. We’re the force behind the gorgeously designed content that streams across your laptop, TV, phone, and tablet—and the massive data that helps companies move from insight to action with content people crave.We're a company that believes product innovation comes from people innovation. That’s why we invest in cultivating leaders at every level. If you're passionate about leading from where you sit, we want you here.We’re hiring! The Cloud Acceleration team is a group of experienced Adobe Content and Commerce specialists who work closely with customers to unlock the full value of their Adobe investment. Our engagements span technical deep-dives, value adoption assessments, strategic conversations—always focused on driving real outcomes.You’ll be part of the Cloud Acceleration team for Content and Commerce, a global pre-sales team that partners with Sales to uncover customer needs, craft solutions, and guide pre deployment architecture. From scoping and sizing to whiteboarding and occasional demos, we thrive on solving complex problems and delivering measurable impact. We’re collaborative, fast-moving, and a little fun-loving—think startup spirit, Adobe scale.","What You Need to SucceedBachelor’s degree in computer science, Software Engineering, or equivalent experience5+ years of relevant experience in pre-sales, architecture, or technical consultingStrong communication and presentation skills—comfortable with both business and technical audiencesPre-sales experience in digital marketing, content management, and commerce solutionsDeep expertise with Adobe Commerce or similar platforms is a plusWorking knowledge of AWS, Azure, New Relic, Fastly (or similar cloud/CDN/DevOps stacks)HTML, JavaScript, CSS skills, and knowledgeable about GraphQL, React, or AngularExperience with headless CMS concepts, microservices, APIs, and front-end frameworksAWS or Azure Architect certification is a plusWillingness to travel up to 30% (actual may be less)Bonus Points ForExperience educating customers and stakeholders on integration strategiesProven ability to map customer business objectives to technical solutionsExperience working in agile, cross-functional environments"
(Senior) Designer Integrated Photonics (m/f/x),ZEISS,Oberkochen (Baden-Württemberg),Feste Anstellung,Vollzeit,"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.Join us today. Inspire people tomorrow.Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.Apply now! It takes less than 10 minutes.","A master’s degree in Electrical Engineering, Physics, Optical Engineering, Photonics, or a related field3+ years industrial experience in integrated photonics design with a particular emphasis on Photonic Integrated Circuits (PICs) and optical systemsHands-on experience with photonic design software such as Ansys Lumerical or Synopsys is essential. Familiarity with physical simulation tools like COMSOL is a plusA deep understanding of photonic principles, including waveguides, interferometers, modulators, and detectorsKnowledge of semiconductor fabrication processes and materials, including silicon photonics, III-V semiconductors, or other photonic platformsKnowledge of optoelectronic integration and hybrid optical systems is highly valuedFamiliarity with layout tools (such as KLayout) and experience in tape-out processesExperience with the packaging and testing of photonic devicesStrong analytical and problem-solving skillsExcellent communication skills and a collaborative mindsetVery good written and spoken German and English skills"
Digital Marketing Project Manager (m/f/d),Berlin-Chemie AG,Berlin,Feste Anstellung,"Homeoffice möglich, Vollzeit","BERLIN-CHEMIE AG belongs to Italy's Menarini Group and researches as well as develops pharmaceutical products, distributing them in more than 30 countries. Our dedication to health is what unites the many different staff at our company. With our responsible work, we make sure that patients can rely on us. For we stand for life.As a member of our International Marketing department, you are committed to the successful promotion of our product portfolio in the markets of the CEE and CIS region. In our six-person Digital Marketing team in Berlin, you coordinate projects and initiatives to help our international affiliates delivering impactful and science-driven omni-channel marketing for our products.Digital Marketing Project Manager (m/f/d)Site:BerlinSpecialist field:Product Management / MarketingCareer level:Experienced professionalsEntry level:with immediate effectContract:fixed-termWorking time:Full-time","You hold a University Degree in economics or scienceYou have gained professional digital marketing experience in a digital agency ideally with a pharmaceutical company account or in a pharmaceutical / OTC companyYou possess a proven track record of leading digital transformation in a pharmaceutical / OTC companyYou already managed projects professionally, ideally in an international environmentYour expertise extends to marketing theory, principles and practices within the health care industryYou ideally have experience with Salesforce Marketing CloudYou are familiar with legal requirements for digital marketing and media (e.g. data protection)You demonstrate strong communication and advisory skillsYou are fluent in English, additional German and / or Russian language skills are an advantage"
(Senior) Performance Marketing Manager (m/w/d) – Paid Social,Social DNA GmbH,Frankfurt am Main,Feste Anstellung,"Homeoffice möglich, Vollzeit","Als Full Service Social Media Agentur mit strategischem Fokus begleiten wir unsere B2B-Kunden von der ersten Präsenz bis zur Integration von Social Media als festen Bestandteil ihrer Unternehmens-DNA. Dabei liefern wir von Beginn an messbare und wertstiftende Ergebnisse und verschaffen ausgewählten Partnern so einen klaren Wettbewerbsvorteil. Wir begeistern Kunden aus den Bereichen Industrie, Life Sciences & Healthcare, Finanzen, IT & eCommerce sowie aus dem öffentlichen Sektor.",
Duales Studium Wirtschaftsinformatik (B.Sc.) am virtuellen Campus - InterInvest Immobilien GmbH & KG,IU Internationale Hochschule,"Magdeburg, Home-Office","Ausbildung, Studium","Homeoffice möglich, Vollzeit","Du möchtest im Bereich Wirtschaftsinformatik durchstarten? Beginne Dein Duales myStudium beim passenden Praxispartner. Erlebe unser Duales myStudium mit virtuellen Lehrveranstaltungen an zwei Tagen pro Woche. Vertiefe anschließend Dein Wissen mithilfe unserer interaktiven Lernmaterialien.Willkommen beiInterInvest Immobilien! Wir sind ein modernes, dynamisches Unternehmen aus Magdeburg (Sachsen-Anhalt), das sich auf die Entwicklung und den Vertrieb von Immobilien als Kapitalanlagen spezialisiert hat. Seit 2020 wachsen wir stetig – mit einem Team aus erfahrenen Praktikern mit Vertriebs- und Netzwerkerfahrung sowie akademisch ausgebildeten Kolleg:innen mit Bachelor- und Masterabschlüssen. Wir arbeiten mit digitalen Tools wie Propstack und Power BI, denken vernetzt und entwickeln gemeinsam zukunftsfähige Lösungen.Werdeauch Du Teil unseres Teams und starte bei uns zum 1. Oktober2025.Dein Studium absolvierst Duam virtuellen Campus der IU Internationale Hochschule. Die IU ist die erste Hochschule, die ein komplett virtuelles duales Studium anbietet. Mit diesem innovativen Modell bist Du nicht an einen Campus gebunden und alle Lehrveranstaltungen finden online statt. So erhältst Du maximale Flexibilität und kannst selbst bestimmt lernen.","Du arbeitest an echten Business Cases mit Power BI und GPT und setzt Dein Wissen direkt in der Praxis umDu analysierst Daten und erstellst anschauliche Visualisierungen mit Power BI, um Entscheidungsprozesse zu unterstützenDu entwickelst gemeinsam mit dem Team Automatisierungslösungen für CRM, E-Mail und Marketing weiterDu integrierst Schnittstellen und sorgst für eine reibungslose Anbindung unseres Webshops an digitale SystemeDu arbeitest beim Aufbau eines KI-gestützten Systems mit GPT mit und bringst innovative Technologien ein"
