title,company,location,job_type,employment_type,description,requirements
Director of Games,JustPlay GmbH,Berlin,Feste Anstellung,Vollzeit,"Come join the company that’s transforming the world of mobile gaming by making playtime truly rewarding. At JustPlay, we’re on a mission to build a fairer, more sustainable Play-to-Earn ecosystem—one where players are rewarded for their time, and engagement drives continuous growth. Since launching in 2020, we’ve grown into one of the world’s leading loyalty gaming platforms, with over 25 million downloads and 500,000+ daily active users. Bootstrapped and headquartered in Berlin, our global team spans 19+ countries and is united by a belief in fun, fairness, and meaningful impact. We’re leading a massive shift in the gaming industry—but it’s still early enough for you to make your mark. At JustPlay, you’ll have the freedom to shape bold ideas, elevate our brand, and help tell the story of a company that’s not just growing fast, but growing right.","6+ years in mobile gaming, with a focus on product or production rolesA track record of leading teams with larger games portfolios—ideally hypercasual and casualDeep understanding of mobile game KPIs and user behavior in an ad revenue based contextStrong leadership and project management skills; experience leading cross-functional teamsExcellent taste and product sense—you know what ""good"" looks like and how to get thereData-informed decision-maker who moves fast and learns fasterA collaborative builder who thrives in lean, iterative environmentsBonus PointsExperience with Unity and game development pipelinesExposure to live ops and IAPs"
"Mitarbeiter (m/w/d) Prüfungssekretariat, HSD Hochschule Döpfer GmbH",HSD Hochschule Döpfer GmbH,Regensburg,Feste Anstellung,"Homeoffice möglich, Teilzeit, Vollzeit","Die HSD Hochschule Döpfer, University of Applied Sciences, ist eine staatlich anerkannte und systemakkreditierte private Hochschule mit hohem wissenschaftlichem Anspruch in Lehre und Forschung. An ihren drei Standorten in Potsdam, Köln und Regensburg und ihrem Studienzentrum in Hamburg bietet die HSD verschiedene akkreditierte Bachelor- und Masterstudiengänge in Psychologie, Sozial- und Gesundheitswissenschaften an. Damit unser erfreulich verlaufendes Wachstum nachhaltig andauern kann, sind wir immer daran interessiert, unser Team zu erweitern. Wir suchen Unterstützung im Prüfungssekretariat am Standort Regensburg in Voll- oder Teilzeit.","Abgeschlossenes Hochschulstudium und Berufserfahrung ODER abgeschlossene Ausbildung in Verbindung mit Berufserfahrung in der Hochschulverwaltung Serviceorientierung, Kommunikationsstärke und schnelle Auffassungsgabe Eigenverantwortliche, strukturierte und sorgfältige Arbeitsweise Teamfähigkeit, Belastbarkeit und Durchsetzungsvermögen Sensibilität für den Umgang mit personenbezogenen Daten Sicherer Umgang mit den gängigen MS Office Anwendungen sowie idealerwiese Erfahrung mit (Campus-)Management-Systemen Sehr gute Deutschkenntnisse und gute Englischkenntnisse in Wort und Schrift"
IT System Administrator (f/m/d),Cinemo GmbH,Hybrid,Feste Anstellung,Vollzeit,"Position DescriptionAs a member of our Infrastructure and Support Team, you’ll be managing and maintaining the organization’s Linux and Windows server infrastructure. Your responsibility will be to ensure the stability, security, and optimal performance of our Linux and Windows server environment. You enjoy collaborating with other teams to ensure best efficiency across different topics.Regular office presence in Karlsruhe is essential for this role.In this role, you will:Administer and maintain Windows and Linux server environments, including installation, configuration, patching, and troubleshootingMonitor system performance, analyze logs, and troubleshoot hardware and software issues to ensure system reliabilityImplement and manage security best practices, user access control, and regular security patching for both Windows and Linux serversInstall, configure, and maintain various internal services such as DNS, Active Directory, AzureAD or the backup infrastructureProvide user support and troubleshooting for internal stakeholders on both Windows and Linux systemsEnsure compliance with organizational policies and industry standards (e.g., data security, privacy regulations)","Proven experience as an IT Administrator or System Administrator with a focus on both Windows and Linux server environmentsStrong experience with Windows Server administration (Active Directory, Group Policy, DNS)Extensive knowledge of Linux server administration (Ubuntu, Debian)Experience with virtualization technologies (e.g., VMware, Proxmox)Strong understanding of network protocols (TCP/IP, DNS, HTTP, SSH) and server security practicesFamiliarity with system monitoring and management tools (e.g., ELK Stack, Check-mk, Nagios)"
Senior Account Executive - Dutch speaker (m/f/d),EMnify GmbH,"Berlin, Germany",Feste Anstellung,Vollzeit,"Your RoleSenior Account Executivea , you will play a key role in driving our expansion within the technical SaaS industry, owning the entire sales cycle-from prospecting and consultative selling to closing deals and nurturing long-term relationships. We are looking for ambitious, self-motivated professionals to lead the way to building and executing sales strategi ies. Engaging with top-tier tech companies in data security, storage, and other cutting-edge sectors, you'll work closely with cross-functional teams, gaining deep insights into our industry and shaping the future of emnify's GTM stra ategy. At emnify, we value the benefits of in-office collaboration.Your Impacted in our -Help shape our outbound sales strategy, working alongside different teams to refine our approach and open new market opp ortunities -Navigate complex sales cycles and engage with technical stakeholders, becoming a trusted advisor for you r customers -Bring in high-value customers, and contribute to a collaborative and performance-driven t eam culture. -Be part of a strong, and collaborative sales culture, shaping the way we do business and setting the foundation for Emnify's next ph","pProven track record in outbound sales (hunting)phase of growth -, with the ability to identify, engage, and close high-value deals. -full sales cyclesExperience managing , from initial outreach to contract nego tinatural ability to grasp technical topicsation and closing. -A , even without a background in IoT or telecom, and communicate complexsoself-starter mentalitylutions effectively. -A , driven by results, with a proactive approach to finding a ndcollaborative and strategic mindsetwinning new business. -A , comfortable working cross-functionally and inf lFluent Dutsch speakeruencing key stakeholders. -We streven ernaar om betrouwbare informatie over elke baan te hebben. Laat het ons alsjeblieft weten als er iets niet klopt of als je technische problemen hebt gevonden."
Finanzbuchhalter (m/w/d),DATA-TAX Steuerberatungsgesellschaft mbH,Meppen,Feste Anstellung,"Homeoffice möglich, Vollzeit","DATA-TAX ist einemoderne Steuerberatungmit einem Team aus über260 professionellen und kollegialen Mitarbeitern. Wir arbeitensehr digital, gut organisiert und strukturiert. Unsere modernen Büros befinden sich in Aschendorf, Meppen, Lingen und Neuenhaus. Dich erwartet eintop ausgestatteter, ergonomischer und klimatisierter Arbeitsplatzmit professioneller Ausstattung.Aktuell erweitern wir unser Team.","Du bist Steuerfachangestellter oder Finanzbuchhalter IHK.Alternativ hast du eine abgeschlossene Ausbildung in einem kaufmännischen Beruf und verfügst bereits über Berufserfahrung in der Finanzbuchhaltung.Du möchtest eigenständig, mit flexiblen Arbeitszeiten arbeiten.Du arbeitest mit Softwarelösungen der DATEV (Kanzlei-Rechnungswesen inkl. DUO, DMS, DATEV Lohn und Gehalt usw.). Daneben besteht bei Interesse auch die Möglichkeit, die Buchhaltungssoftware der NLB (Assbila inkl. Assbeleg) zu nutzen."
Senior Full Stack Game Developer (m/f/d) | Series-B Edtech Startup,Edurino GmbH,München,Feste Anstellung,Vollzeit,"EDURINO offers magical, one-of-a-kind educational adventures loved by kids & parents! Through our immersive, story-driven learning games, children aged 4 to 8 embark on interactive journeys tailored to their unique needs. Each game is designed to spark curiosity and imagination, while adapting to every child’s learning style, making education both fun and engaging.For parents, EDURINO is more than just a game – it’s a trusted learning companion that helps families navigate early education. We equip kids not only with essential school skills but also with the 21st-century abilities they need to thrive in a fast-changing world. Our blend of digital learning and haptic play offers an unparalleled experience that brings education to life!","5+ years of full-stack development experience, ideally in the gaming or edtech industryStrong backend skills in .NET / C#, REST APIs, Websockets, and cloud servicesConfident working across mobile platforms (iOS & Android) and web environments inside and outside of the unity ecosystemExperience with game-adjacent services (e.g. telemetry, user data, leaderboards)Comfortable building internal tooling, admin panels, or dashboards as neededA collaborative mindset, great communication skills, and a passion for mentoringProven track record leveraging AI technologies in your daily work and promoting those to your teamFluent in English (our company language)"
Software Engineer - Backend,Helsing GmbH,München,Feste Anstellung,Vollzeit,"Helsing is a defence AI company. Our mission is to protect our democracies. We aim to achieve technological leadership, so that open societies can continue to make sovereign decisions and control their ethical standards.As democracies, we believe we have a special responsibility to be thoughtful about the development and deployment of powerful technologies like AI. We take this responsibility seriously.We are an ambitious and committed team of engineers, AI specialists and customer-facing programme managers. We are looking for mission-driven people to join our European teams – and apply their skills to solve the most complex and impactful problems. We embrace an open and transparent culture that welcomes healthy debates on the use of technology in defence, its benefits, and its ethical implications.At Helsing we develop and deliver AI-based capabilities and the enabling infrastructure that allow semi-autonomous platforms to localise, navigate, and perceive the world in real time. We build software that is subject to significant and unorthodox technical constraints, must operate in a wide variety of constantly-changing environments, and has to support an ever-growing list of challenging use-cases. What we build ultimately ends up in the hands of real people in high-risk, high-stress situations, so must be both reliable and frictionless. Taken together, this brings a whole host of interesting engineering challenges across a wide variety of fields that you’ll help us solve.Join Helsing and work with world-leading experts in their fieldsHelsing’s work is important. You’ll be directly contributing to the protection of democratic countries while balancing both ethical and geopolitical concerns.The work is unique. We operate in a domain that has highly unusual technical requirements and constraints, and where robustness, safety, and ethical considerations are vital. You will face unique Engineering and AI challenges that make a meaningful impact in the world.Our work frequently takes us right up to the state of the art in technical innovation, be it reinforcement learning, distributed systems, generative AI, or deployment infrastructure. The defence industry is entering the most exciting phase of the technological development curve. Advances in our field of world are not incremental: Helsing is part of, and often leading, historic leaps forward.In our domain, success is a matter of order-of-magnitude improvements and novel capabilities. This means we take bets, aim high, and focus on big opportunities. Despite being a relatively young company, Helsing has already been selected for multiple significant government contracts.We actively encourage healthy, proactive, and diverse debate internally about what we do and how we choose to do it. Teams and individual engineers are trusted (and encouraged) to practise responsible autonomy and critical thinking, and to focus on outcomes, not conformity.","Can write legible, maintainable, and performant code.Communicate well in English, both verbally and in writing.Enjoy collaborating with others, including reviewing code and pair programming.Are comfortable working asynchronously (writing PRs and RFCs, having discussions by email).Have backend development experience, ideally with a language like Rust, Java, Go, or C++.Are familiar with backend interface tools like REST, GraphQL, gRPC/Protocol Buffers, and Arrow.Strive to improve yourself, your peers, and the culture you work in over time.Feel like ethical considerations are an inherent part of engineering.Note: We operate at an intersection where women, as well as other minority groups, are systematically under-represented. We encourage you to apply even if you don’t meet all the listed qualifications; ability and impact cannot be summarised in a few bullet points.Nice to haveRust and Python specifically.Container-based and cloud-native application architectures (e.g., Docker, Azure, AWS).Metrics tooling (e.g., Prometheus, Grafana, ELK).SQL and streaming database systems.Routing protocols (e.g., IGP, BGP).Cryptographic protocols (e.g., Signal, WireGuard).Hardware interfaces (e.g., Arduino).Robotics (e.g., control systems).Production ML systems."
Senior Backend Developer (m/w/d,FAAREN GmbH,Würzburg,Feste Anstellung,"Homeoffice möglich, Vollzeit","Unser Team wächst und wir suchenengagierte Verstärkung! Als wichtiger Bestandteil eines dynamischen und innovativen Unternehmens haben wir in den letzten Jahren spannende Projekte realisiert.Neben den fachlichen Fähigkeiten legen wir großen Wert aufzwischenmenschliche Skills!Wenn du eineteamorientiertePersönlichkeit bist und gerne gemeinsam Lösungen erarbeitest, dann bist du bei uns genau richtig!Bei uns kannst du im Headquarter in Würzburg arbeiten oder auch komplettremote. Die Entscheidung liegt bei dir.Um unser Entwicklungsteam weiter auszubauen und unser E-Commerce-System kontinuierlich zu verbessern, suchen wir dich als erfahrenenSenior Backend Developer (m/w/d)für unserE-Commerce-Team.","Du verfügst mindestens über gute Kenntnisse rund um die Datenbankverwaltung, idealerweise auch im Bereich Performance-Tuning und Skalierung (MySQL, MongoDB)Software-Engineering zeichnet dich aus (Objekt-Orientiertes Design, Design Patterns, Testing)Du hast bereits mehrjährige, fundierte Erfahrungen im Bereich Cloud-Infrastruktur und DevOps, insbesondere AWS und HetznerDu hast praktische Erfahrungen mit Kubernetes und Container-Technologien (Docker)Du hast bereits einen sicheren Umgang mit Monitoring- und Logging-Tools sowie mit Backup- und Recovery-SystemenSicherheitsplanung, Penetrationstests und Patchmanagement ist für dich nichts NeuesDu konntest bereits einiges an praktischen Erfahrungen in der Implementierung und Optimierung von CI/CD-Pipelines, insbesondere mit Github Actions sammelnDeine Erfahrungen mit PHP und Laravel sind bereits stark vorhandenGrundkenntnisse in JavaScript, TypeScript und VueJS sind wünschenswertIdealerweise hast du bereits Erfahrungen mit Stripe als Payment Service ProviderDu bringst fließende Deutschkenntnisse mit"
Quereinstieg Logistik im kaufmännischen Bereich (Verzollung),gaetan-data GmbH,Schkeuditz,Feste Anstellung,Vollzeit,Für unsere Partner am und um den Standort Flughafen Leipzig/Halle suchen wir neue Mitarbeiter (m/w/d) in der Logistik für den kaufmännischen Bereich der Luftfracht sowie Verzollung.Bewerbungen auch ohne Vorkenntnisse sind erwünscht! Wir machen Sie fit für Ihre neue Aufgabe in der Logistik auf Basis eines Bildungsgutscheins.,Körperliche BelastbarkeitGenerelle Bereitschaft zur SchichtarbeitGute DeutschkenntnisseEnglischkenntnisse von VorteilMindestalter 18 JahreFührerschein Klasse B erwünscht
(Senior) Power Platform Developer (m/w/d),pragmatic development GmbH,Hamburg,Feste Anstellung,"Homeoffice möglich, Teilzeit, Vollzeit","Hi, wir sindpragmatic development– ein wachsendes Unternehmen im Bereich IT-Consulting und Softwareentwicklung mit Hauptsitz in Paderborn. Mit viel Knowhow und Leidenschaft unterstützen wir unsere Kunden bei der Bereitstellung und individuellen Anpassung von CRM- und ERP-Systemen aus dem Microsoft-Umfeld.Zur Verstärkung unseres Teams suchen wir dich vorzugsweise in Hamburg oder am Standort Paderborn als(Senior) Power Platform Developer (m/w/d)","QualifikationDas bringst du mit:Du bistoffen, kommunikativund arbeitest gerne im Team.Wissensaustausch und Weiterbildungsind dir wichtig.Du bist in der Lage, dichschnell und eigenständigin neue Aufgabenstellungen einzuarbeiten und teilst unsereBegeisterung für agile Softwareentwicklungund pragmatische Lösungen.Dataverse und Model-driven Appssind dein Ding – idealerweise bringst du4+ Jahre Erfahrungim Bereich Power Platform/Dynamics 365 (Sales und/oder Customer Service) mit.Weiterer Pluspunkt:PL-400 oder PL-600.Du verfügst überverhandlungssichere Deutschkenntnisse(mindestens C1) sowie gute Englischkenntnisse (B1/B2)."
(Senior) Power Platform Developer (m/w/d),pragmatic development GmbH,Paderborn,Feste Anstellung,"Homeoffice möglich, Teilzeit, Vollzeit","Hi, wir sindpragmatic development– ein wachsendes Unternehmen im Bereich IT-Consulting und Softwareentwicklung mit Hauptsitz in Paderborn. Mit viel Knowhow und Leidenschaft unterstützen wir unsere Kunden bei der Bereitstellung und individuellen Anpassung von CRM- und ERP-Systemen aus dem Microsoft-Umfeld.Zur Verstärkung unseres Teams suchen wir dich vorzugsweise in Hamburg oder am Standort Paderborn als(Senior) Power Platform Developer (m/w/d)","QualifikationDas bringst du mit:Du bistoffen, kommunikativund arbeitest gerne im Team.Wissensaustausch und Weiterbildungsind dir wichtig.Du bist in der Lage, dichschnell und eigenständigin neue Aufgabenstellungen einzuarbeiten und teilst unsereBegeisterung für agile Softwareentwicklungund pragmatische Lösungen.Dataverse und Model-driven Appssind dein Ding – idealerweise bringst du4+ Jahre Erfahrungim Bereich Power Platform/Dynamics 365 (Sales und/oder Customer Service) mit.Weiterer Pluspunkt:PL-400 oder PL-600.Du verfügst überverhandlungssichere Deutschkenntnisse(mindestens C1) sowie gute Englischkenntnisse (B1/B2)."
Werkstudent - Wissenschaftliche Assistenz Radiogenetik (m/w/d),PGXperts GmbH,Fürth,"Studentenjobs, Werkstudent",Teilzeit,Gestalte deine berufliche Zukunft gemeinsam mit uns!,"Du studierst Pharmazie, Medizinphysik, Molekularbiologie, Medizin oder einen verwandten Studiengang mit Inhalten in Genetik oder Strahlenbiologie ab dem 5. SemesterDu hast ein gutes Verständnis für englisch­sprachige wissen­schaft­liche Texte und klinische StudienDu hast erste Erfahrungen mit medizinischen Daten­banken und syste­matischen Literatur­recherchenNeben einem sicheren Umgang mit MS Office bringst du eine Affinität für das Arbeiten mit diversenEDV-Anwendungen mitEin präziser Schreibstil und verhandlungssichere Englischkenntnisse runden dein Profil ab"
