title,company,location,job_type,employment_type,description,requirements
Duales Studium B.A. BWL - Digital Business Management (m/w/d) 2026,FUCHS LUBRICANTS GERMANY GmbH,Mannheim,"Ausbildung, Studium",Vollzeit,"FUCHS ist der weltweit größte unabhängige Anbieter von innovativen Schmierstofflösungen für nahezu alle Branchen und Anwendungsbereiche. Unsere Produkte und Lösungen halten die Welt in Bewegung, auch wenn diese nicht immer sichtbar sind. Entscheidend ist, dass jeder Einzelne unserer über 6.000 Mitarbeiter in mehr als 50 Ländern sichtbar ist - ihr Unternehmergeist, ihre Ideen und Fähigkeiten sind das Herzstück unseres globalen Geschäfts.","Das zeichnet dich aus:Du hast bald deine Allgemeine Hochschulreife in der Tasche - idealerweise mit sehr guten Noten in Mathe.Du verfügst über sehr gute Deutschkenntnisse in Wort und Schrift.Wirtschaft, Digitalisierung und neue Technologien interessieren dich.Du arbeitest gerne im Team, bist neugierig und willst Verantwortung übernehmen.Außerdem bist du organisiert, motiviert und willst nicht nur lernen, sondern mitgestalten."
Team Member (m/f/d) Vessel Operations,“K“ Line (Deutschland) GmbH,Hamburg,Feste Anstellung,"Homeoffice möglich, Vollzeit","We are the European general agency of the globally active shipping companyKAWASAKI KISEN KAISHA Ltd.(""K"" Line). As a leading shipping company in the RoRo business, we offer highly sophisti­cated and tailor-made mari­time trans­port solu­tions to our custo­mers from the automotive and heavy machinery indus­tries. As European headquarters based in Hamburg, we are respon­sible for plan­ning and managing the regular services from Europe to North America and Asia as well as their marke­ting in Europe.To support our dynamic and multi­national team inHamburg, we are looking for a newTeam Member (m/f/d) Vessel Operations","Completed training, studies, or a similar quali­fication, ideally related to shipping or logisticsAbility to communicate and negotiate effec­tively in English, both verbally and in wri­tingFamiliar with handling numerical data, calcu­lation with high level of accuracy and attention to detailsSense to take necessary action, parti­cularly sharing neces­sary infor­mation among parties whenever criti­cal things happenExperience and sense of managing one’s own workload through effec­tive prioritizing, time management and organi­zational skillsPossession of a class B driving licenseAttitude to take care of ongoing issue until resolved, possibly with own ideasComputer literacy and familiarity with the Micro­soft suite of software to inter­mediate level in Word, Excel and Outlook"
IT Business Analyst SAP SD (m/f/d),Hilti Entwicklungsgesellschaft mbH,Kaufering,Feste Anstellung,Vollzeit,"IT Business Analyst SAP SD (m/f/d)Kaufering near MunichJob reference: 56149We’re looking for an IT Business Analyst SAP SD to join our global IT team. In this role, you will drive the digital transformation of Hilti by translating business needs into innovative, user-centric, and sustainable IT solutions. You'll work closely with cross-functional teams to shape seamless customer experiences by combining mobile, cloud, and on-premise technologies – all integrated into our modern SAP S/4HANA backend.This is your chance to be part of a global transformation and make a real impact on how Hilti serves customers around the world.Who is Hilti?At Hilti, we are a passionate global team committed to making construction better. As a trusted partner for productivity, safety, and sustainability, we provide our customers innovative solutions that impact the buildings, roads, and infrastructure people rely on every day.Hilti is where individuals grow lasting careers by exploring possibilities, maximizing their potential, owning their development, and making a real difference every day.Last year alone, we launched around 60 new products on the market. This also includes new services and software.","Because you want to shape the future of a global technology-driven company and see your work translated into real impact. At Hilti, your ideas and contributions matter – and you’ll find the tools and support you need to keep growing.What you need is:Master’s degree in Information Management, Computer Science, Computer Engineering, or a related field.At least 4 years of experience as a Business Analyst or Consultant with strong expertise in SAP ERP modules, ideally SAP SD.Strong interpersonal and communication skills with the ability to connect, inspire, and influence stakeholders globally.A proactive and self-motivated mindset with the ability to prioritize and deliver in a fast-paced, virtual environment.Agile thinking, analytical problem-solving, and openness to change and emerging technologies.Fluency in English (written and spoken); additional languages are a plus."
Field Account Manager (m/w/d),nonplusultra Sales GmbH,München,Feste Anstellung,"Homeoffice möglich, Vollzeit","WE LEAD INSPIRING BRANDS TO SUCCESS.nonplusultra verhilft internationalen Tech-Brands zum langfristigen Wachstum im europäischen Retail. Mit unserem vielfach bewährten Framework und dem Einsatz neuester Technologien entwickeln wir die richtige Strategie für die Sales Kanäle von morgen. So führen unsere Top-Talente globale Leader wie Amazon, Meta sowie aufstrebende Scale-Ups wie Sumup oder Ring zur erfolgreichen Vermarktung ihrer Produkte. Werde Teil unseres Teams und verwandle großartige Visionen in messbare Resultate.UNSERE CORE-VALUESTAKE THE LEAD:Wir sind proaktiv und ownen unser Business.DATA BUILDS OPINION:Unsere Argumente basieren auf Fakten statt Vermutungen.GO WHERE THE PAIN IS:Wir suchen aktiv den Weg aus der Komfortzone, um persönlich zu wachsen.TRUST FORMS LOYALTY:Wir folgen unseren Werten und formen langfristige Partnerschaften.SPREAD GOOD VIBES:Der Spaß kommt bei uns nie zu kurz.SO BEWERTEN UNS UNSERE KOLLEGEN","Retail- und Außendiensterfahrung:Du bringst einen starken Hintergrund in der Unterhaltungselektronik (CE) mit, ergänzt durch praktische Erfahrung in Geschäften oder in der Leitung von Field-TeamsDu bringst Erfahrung in der Zusammenarbeit mit MediaMarkt Saturn (MSD & MSB) Stores mit und verfügst über ein starkes Netzwerk von Store-Managern.Strategische und analytische Fähigkeiten:Die Bewertung der Performance auf Store-Ebene, die Analyse von Budgetauswirkungen und die Messung des ROI gehören zu deinen StärkenMit deiner Fähigkeit, Daten in umsetzbare Strategien für Stores zu übersetzen, sorgst du für bedeutende Verbesserungen und ErgebnisseVerhandlungs- und Kommunikationsfähigkeiten:Komplexe Verhandlungen auf Store-Ebene führst du souverän und triffst dabei kluge InvestitionsentscheidungenDank deiner klaren Kommunikationsfähigkeiten meisterst du herausfordernde Gespräche sowohl intern als auch externDeine verhandlungssicheren Deutsch- und Englischkenntnisse ermöglichen es dir, effektiv mit unterschiedlichen Stakeholdern zu kommunizieren"
(Senior) IT-Projektmanager (all genders),DATAGROUP,"Ingelheim am Rhein, Wiesbaden",Feste Anstellung,"Homeoffice möglich, Vollzeit","Die DATAGROUP Rhein-Main GmbH (ehemals URANO), mit Sitz in Ingelheim am Rhein, Rheinland-Pfalz, ist Teil der DATAGROUP SE, einem der führenden IT-Dienstleister in Deutschland. Seit fast 35 Jahren sind wir der innovative und herstellerunabhängige IT-Partner für Konzerne, mittelständische Unternehmen und öffentliche Auftraggeber in der Rhein-Main-Region, deutschlandweit und in Österreich.Wir suchen Sie inIngelheim am Rhein oder Wiesbadenals(Senior) IT-Projektmanager (all genders)Referenznummer DG-RM-043","Erfolgreich abgeschlossenes Studium oder eine vergleichbare Ausbildung mit einschlägiger Berufs­erfahrung in einer ähnlichen PositionIdealerweise mindestens fünf Jahre Erfahrung im Leiten von mittleren und großen Programmen, Projekten und TeilprojektenHohe IT-AffinitätKenntnisse im Projekt- / Prozess­management, durch mindestens eine Zertifizierung (PMI, PRINCE2, IPMA etc.)Du bist mit den Methoden des Projekt­managements vertraut und kannst auch Prozesse darstellen und erläuternZiel- und lösungs­orientierte VorgehensweiseHands-on-MentalitätReisebereitschaft zu Kunden­projekten im Rhein-Main-GebietHohe Kunden- und Dienstleistungsorientierung und gute Organisations-, Koordinations- und Kommunikations­fähig­keitenSehr gute Deutsch- und Englischkenntnisse in Wort und Schrift"
Senior SAP FI/CO Consultant – S/4HANA (m/w/d),cbs Corporate Business Solutions Unternehmensberatung GmbH,"Heidelberg, München, Dortmund, Hamburg, Düsseldorf, Frankfurt am Main, Berlin, Stuttgart, Freiburg,",Feste Anstellung,"Homeoffice möglich, Vollzeit","Wir sind die Berater der Weltmarktführer: Hochmotivierte Expertinnen und Experten, die als erfolgreiches Team digitale End-to-End-Geschäftsprozesslösungen vorantreiben. Gemeinsam stärken wir die Zukunft der beeindruckendsten Unternehmen der Welt aus Maschinen- und Anlagenbau, Automotive, Life Science, Pharma und Chemie, mit denen wir viel gemeinsam haben.Unser ausgezeichneter Ruf bei Hidden Champions öffnet Dir die Türen für anspruchsvolle Projekte mit einzigartigen Gestaltungsmöglichkeiten. Werde Teil einer der besten und verlässlichsten Beratungen und nutze vielfältige Entwicklungschancen. Als engagiertes Teammitglied kannst Du bei uns schnell Verantwortung übernehmen und über Dich hinauswachsen. Du triffst auf ein starkes Team, das zusammenhält und wirklich etwas bewegen will.Wir gestalten die globalen SAP Lösungen renommierter Industrieunternehmen. Im Finanz- und Rechnungswesen beraten wir unsere Kunden umfassend auf ihrem Weg vom operativen SAP Rechnungswesen zur strategischen Unternehmensführung auf Basis von SAP S/4HANA.Zur Verstärkung unseres Teams suchen wir einenSAP Lead/Senior Consultant(m/w/d) S/4HANA Financial Accounting.","Erstklassiger Hoch- oder Fachhochschulabschluss in BWL, (Wirtschafts-)Informatik, Maschinenbau, Logistik oder vergleichbare Qualifikation﻿﻿Mindestens 4-jährige Beratungserfahrung in Prozess- und Optimierungsprojekten im Bereich des internen und/oder externen RechnungswesensGutes integratives ProzessverständnisErste Erfahrungen als (Teil-) Projektleiter in großen SAP Projekten bei Kunden aus der produzierenden Industrie von VorteilIdealerweise erste Kenntnisse in: Design globaler Rechnungswesen Standards & Prozesse, Neuen Hauptbuch und/oder des Universal Journals, Paralleler Rechnungslegung nach OR oder Swiss Gap, Segmentberichterstattung, Neue Anlagenbuchhaltung, Credit Management & Cash Management, Datenmigration im Umfeld von SAPSelbstständige und proaktive Arbeitsweise, Analytische und konzeptionelle Denkweise sowie ausgeprägte KommunikationsfähigkeitSehr gute Deutsch- und Englischkenntnisse, weitere Fremdsprachen von VorteilReisebereitschaft, auch für gelegentliche   Auslandseinsätze"
Quality Manager (m/w/d),Legrand Systems GmbH,Nidderau,Feste Anstellung,Vollzeit,"Legrand ist seit über 30 Jahren der globale Experte bei der Erbringung von Produkt- sowie Service­leis­tungen im Bereich für leistungs­starke Lösungen für Rechen­zentren, Industrie und Infrastruk­tur. Wir sind Teil der weltweit erfolgreichen Legrand-Gruppe mit über 39.000 Mitarbei­tern weltweit und Hauptsitz in Frankreich. Mit innovativen Lösungen und unseren Premium-Produkten bieten wir hochmo­derne anpassbare Lö­sungen, die für maximale Leistung und Energie­effizienz stehen. Wir wachsen weiter und bieten einen sicheren wie span­nenden Arbeits­platz in einem dynamischen Umfeld.Legrand – Creating Intelligent Data Centers. Powered by Experts.Wir suchen zum nächstmöglichen Zeitpunkt für die Legrand Systems GmbH am Standort Nidderau (bei Frankfurt am Main) einenQuality Manager (m/w/d)","Abgeschlossenes Studium im Bereich Ingenieurwesen, Betriebswirtschaft oder eine vergleichbare QualifikationNachweisbare Qualifikation und erste Berufserfahrung im Qualitätsmanagement sowie in der Prozessoptimierung, Arbeitssicherheit und UmweltmanagementLEAN-Management Erfahrung z. B. mit Six-Sigma Green oder Black Belt von VorteilIdealerweise Kenntnisse in Power BI zur Analyse und Visualisierung von UnternehmensdatenErste Erfahrung in der Durchführung von KAIZEN-Events in ProduktionsbereichenFähigkeit zur Leitung und Umsetzung von KVP-Projekten sowie deren Betreuung und Monitoring wünschenswertStrukturierte, analytische Arbeitsweise mit hoher LösungsorientierungAusgeprägte kommunikative und organisatorische FähigkeitenSehr gute Deutsch- und Englischkenntnisse in Wort und Schrift"
Business Development Manager (m/f/d),Senseca Germany GmbH,Remscheid,Feste Anstellung,Vollzeit,"With a rich heritage spanning over 60 years of industry experience, we continuously pursue our vision of connecting the physical and digital worlds through innovative measurement solutions. We make the most reliable data easily accessible.By working together with our customers, we specialise in developing customised sensor solutions for a wide range of parameters. From measuring level, flow and pressure to recording temperature, conductivity, light, wind, humidity and meteorological data. No measurement task is too big for us. We are ready to take on the challenges of the IoT.For our Business Unit Industry we are looking for the next possible date for aBusiness Development Manager (m/f/d)","Completed technical training or engineering degree in the field of electrical engineering, mechanical engineering, process engineering or similarProfessional experience in international business developmentCustomer and sales-oriented thinking and actingAssertiveness, determination and entrepreneurial thinkingHigh level of communication skills and presentation confidenceInitiative and proactivity, networking skillsVery good written and spoken English skillsExperience in working with ERP systems, ideally with ABASKnowledge in the field of measurement and control technology is an advantage"
IT Operations Manager,Stepstone GmbH,Düsseldorf,Feste Anstellung,"Homeoffice möglich, Vollzeit","At The Stepstone Group, we have a simple yet very important mission: The right job for everyone. Using our data, platform, and technology, we create opportunities for jobseekers and companies around the world to find a perfect match in fair and equitable way. With over 20 brands across 30+ countries, we strive for fair and unbiased hiring.Join our team of 4,000+ employees and be part of reshaping the labour market and becoming the world’s leading job platform.","Proven experience in infrastructure project management and strategic roadmap development, aligning IT initiatives with business goalsStrong technical proficiency in Microsoft stack (Azure, Exchange, Entra ID), Okta, Cisco Meraki, and Mimecast; expertise in automation (Terraform), security implementations, and compliance adherenceIn-depth knowledge of networking fundamentals, IAM principles, and incident response procedures, with hands-on experience in the mentioned tech stackDemonstrated ability to lead and manage global technical remote teams, fostering innovation and driving performanceExperience with email security cloud technologies, and infrastructure automation (terraform); Azure or AWS solution architect certification desirableProficiency in English and German language"
(Junior / Senior) Embedded Softwareentwickler C/C++ (m/w/d),Progressive Recruitment,,Feste Anstellung,"Homeoffice möglich, Vollzeit","Progressive ist ein Fachpartner für Engineering und Teil von SThree, der globalen Beratung für Fach- und Führungskräfte in MINT. Mit Expertise in den Bereichen Energie, Bau, Fertigung, IT und Life Science bereät Progressive Unternehmen, baut Expertenteams auf und liefert Projektlösungen.Du bist momentan auf der Suche nach deinem nächsten beruflichen Hafen oder denkst zumindest über einen Wechsel nach? Du willst vorankommen, dich weiterentwickeln oder einfach einen Tapetenwechsel?Du bist im Umfeld der Hardwarenahen / Embedded Programmierung versiert und hochmotiviert, dies bei deinem neuen Arbeitgeber zu beweisen?Du freust dich auf ein Team, mit dem du an einem Strang zusammenarbeiten kannst, um die Tech-Welt von morgen zu gestalten und damit jeden Mitmenschen positiv zu beeinflussen?Genau auf der Suche nach solchen (Junior / Senior) Embedded Softwareentwicklern C/C++ (m/w/d) sind wir.Gemeinsam mit unterschiedlichen Partnerunternehmen (vom Global Player mit knapp einer halben Million Angestellten, über klassische KMUs bis hin zu Hidden Champions) aus derEntwicklung von Embedded Systemensuchen wiran mehreren Standorten deutschlandweit zum nächstmöglichen Zeitpunkteine*n(Junior / Senior) Embedded Softwareentwickler C/C++ (m/w/d)!","Ein abgeschlossenes Studium mit Fachrichtung Elektrotechnik, (technische) Informatik o.Ä. ODER eine Technikerausbildung mit mehrjähriger relevanter Berufserfahrung.Mit der hardwarenahen Programmierung in C und/oder C++ kennst du dich sehr gut aus und hast darin mindestens 2 Jahre Berufserfahrung nach deinem Abschluss sammeln können.Gute Deutsch- (mindestens B2) und Englischkenntnisse (mindestens B1) runden dein Profil ab – gesehen an deinem realen Sprachvermögen, nicht nach Zertifikaten.Von Vorteil ist es, wenn du dich bereits mit ARM Cortex Mikrocontrollern auskennst.Ebenso ideal sind Kenntnisse in Echtzeitfähigen Systemen wie  freeRTOS, ebenso wie mit Bare-Metal-Programmierung."
Manager Zentrale Logistik am Standort Regen,Qioptiq Photonics GmbH & Co. KG,Regen,Feste Anstellung,Vollzeit,"Excelitas ist ein weltweit führendes Technologieunternehmen mit mehr als 7.500 Mitarbeitern, das sich darauf konzentriert, marktorientierte Lösungen für die OEMS und Endanwender in den Bereichen Sensorik, Detektion, Bildgebung, Optik und Speziallichtquellen für Life Sciences, Advanced Industrial, Halbleiter der nächsten Generation, Luft- und Raumfahrt und Verteidigung zu liefern.ENGAGE - Engagieren Sie sich noch heute und leisten Sie bei uns Ihren Beitrag für die Zukunft! Werden Sie Teil des Teams, an das sich führende Technologieunternehmen wenden, wenn es um bahnbrechende photonische Innovationen geht.EXCEL - Bei Excelitas Technologies sind Sie der Grund, warum wir herausragend sind.Unser Excelitas Standort in Regen ist unser Center of Excellence für hochpräzise Optiken. Von der Entwicklung bis zur Fertigung auf modernsten Maschinen arbeiten hier Spezialisten mit Leidenschaft, um alle Kundenanforderungen tagtäglich zu erfüllen. Dabei werden ein breitgefächertes Spektrum und unterschiedlichste Märkte und Anwendungen mit hochpräzisen optischen Komponenten zuverlässig beliefert. Beispielhafte Anwendungen sind Dentalkameras und Endoskope in medizinische Anwendungen, Head-up-Displays in der Luft- und Raumfahrt, Luftbildkameras sowie vielfältige Sonderlösungen im Bereich Forschung und Entwicklung.","Erfolgreich abgeschlossenes technisches oder wirtschaftswissenschaftliches Studium oder vergleichbare berufspraktische ErfahrungLangjährige Erfahrung im Bereich Produktionsplanung und Logistics ManagementFührungserfahrungTechnisches Verständnis von Herstellprozessen und ZusammenhängenErfahrung mit Produktanlauf, Serieneinführung und Verlagerung von ProzessenErfahrungen in der Zusammenarbeit mit Standorten und Kunden im In- und AuslandBereitschaft zu gelegentlichen Reisen im In- und AuslandOffenheit für VeränderungenKommunikationsstark auf unterschiedlichen OrganisationsebenenLösungsorientierter, durchsetzungsstarker Teamplayer mit analytischer DenkweiseBegeisterungsfähigkeit - sowohl selber als auch das TeamSehr gute Deutsch- und Englischkenntnisse in Wort und SchriftSehr gute SAP-Kenntnisse und Erfahrungen im Umgang mit ERP Systeme"
"Senior Manager, Cloud and Network Infrastructure",Stepstone GmbH,Düsseldorf,Feste Anstellung,"Homeoffice möglich, Vollzeit","At The Stepstone Group, we have a simple yet very important mission: The right job for everyone. Using our data, platform, and technology, we create opportunities for jobseekers and companies around the world to find a perfect match in fair and equitable way. With over 20 brands across 30+ countries, we strive for fair and unbiased hiring.Join our team of 4,000+ employees and be part of reshaping the labour market and becoming the world’s leading job platform.","Proven experience in infrastructure project management and strategic roadmap development, aligning IT initiatives with business goalsStrong technical proficiency in Microsoft stack (Azure, Exchange, Entra ID), Okta, Cisco Meraki, and Mimecast; expertise in automation (Terraform), security implementations, and compliance adherenceIn-depth knowledge of networking fundamentals, IAM principles, and incident response procedures, with hands-on experience in the mentioned tech stackDemonstrated ability to lead and manage global technical remote teams, fostering innovation and driving performanceExperience with email security cloud technologies, and infrastructure automation (terraform); Azure or AWS solution architect certification desirableProficiency in English and German language"
Projektleiter (m/w/d) SAP Transformation Advisory,cbs Corporate Business Solutions Unternehmensberatung GmbH,"Heidelberg, München, Dortmund, Hamburg, Düsseldorf, Frankfurt am Main, Berlin, Stuttgart, Freiburg",Feste Anstellung,"Homeoffice möglich, Vollzeit","Wir sind die Berater der Weltmarktführer: Hochmotivierte Expertinnen und Experten, die als erfolgreiches Team digitale End-to-End-Geschäftsprozesslösungen vorantreiben. Gemeinsam stärken wir die Zukunft der beeindruckendsten Unternehmen der Welt aus Maschinen- und Anlagenbau, Automotive, Life Science, Pharma und Chemie, mit denen wir viel gemeinsam haben.Unser ausgezeichneter Ruf bei Hidden Champions öffnet Dir die Türen für anspruchsvolle Projekte mit einzigartigen Gestaltungsmöglichkeiten. Werde Teil einer der besten und verlässlichsten Beratungen und nutze vielfältige Entwicklungschancen. Als engagiertes Teammitglied kannst Du bei uns schnell Verantwortung übernehmen und über Dich hinauswachsen. Du triffst auf ein starkes Team, das zusammenhält und wirklich etwas bewegen will.In der PracticeTransformation Managementunterstützen wir als Partner unsere Kunden auf Top Management Level die Digitale Transformation zu planen und in die Umsetzung zu überführen. Von der ersten Idee bis zum Soll-Zustand über Organisation, Prozesse, Daten und Anwendungen hinweg, machen wir die Auswirkungen der Transformation greifbar.Für anspruchsvolle und komplexe Transformationsprojekte suchen wir daher erfahrene Projektmanager bzw. Projektleiter (m/w/d) aus dem SAP Umfeld.","Erfolgreich abgeschlossenes Hochschulstudium (z.B. im Bereich BWL, Wirtschaftsinformatik, Wirtschaftsingenieurwesen) oder vergleichbare QualifikationMehrjährige Erfahrung in der Konzeption, Durchführung, Kontrolle und Leitung von SAP ERP Projekten (idealerweise im Bereich Logistik oder Finance), sowie erste Kenntnisse in SAP S/4HANAModulübergreifendes SAP Know-how sowie übergreifende IntegrationskenntnisseMindestens 5 Jahre praktische Erfahrung in der strukturierten Gestaltung bzw. Harmonisierung von Geschäftsprozessen in IndustrieunternehmenAusgeprägte methodische Kenntnisse im ProjektmanagementGute Englischkenntnisse, weitere Fremdsprache von VorteilAnalytische und konzeptionelle Denkweise, ausgeprägte Kommunikationsfähigkeit auf allen Managementebenen in multikulturellen Umgebungen sowie eine diplomatische und proaktive Arbeitsweise"
Team Assistant & Project Coordinator (m/f/x) Corporate Communications Europe Team,Daiichi Sankyo Europe GmbH,München,Befristeter Vertrag,Vollzeit,"With over 120 years of experience and approximately 19,000 employees in more than 30 countries/regions, Daiichi Sankyo is dedicated to discovering, developing, and delivering new standards of care that enrich the quality of life around the world.In Europe, we focus on two areas: The goal of our Specialty Business is to protect people from cardiovascular disease, the leading cause of death in Europe, and help patients who suffer from it to enjoy every precious moment of life.In Oncology, we are driving innovation in solid tumours and blood cancers, founded on breakthrough science from our own labs in Japan. We aspire to create better tomorrows for people living with cancer and their loved ones.Our European headquarters are in Munich, Germany, and we have affiliates in 15 European countries and Canada.For our headquarter in Munich we are seeking highly qualified candidates to fill the position:Team Assistant & Project Coordinator (m/f/x) Corporate Communications Europe Team- Fixed term contract for 2 years -The Position:This is a role for an experienced Team Assistant/ Project Coordinator (m/f/x). The candidate will be responsible to support the Corporate Communications Europe team for a broad range of administrative and project-related coordination tasks. This position involves collaboration with communications colleagues across Europe, the US and Japan as well as cross-functional teams and colleagues. The role will report to the Head of Corporate Communications Europe.","Business Management Education such as certified business expert (kaufmännischer Fachwirt / Industriekaufmann/frau), certified business economist (Betriebswirt), or equivalent.Experience of a minimum of 3 years in business management functions in at least mid-sized companies or other organizations; experience in the pharmaceutical industry and/ or in a professional communications environment is a plusWell-versed in business IT applications (Microsoft 365 incl. Sharepoint, Project Management Applications as well as SAP); experience with content management systems is a plusExperience in operational and financial/ accounting processes, administrative/ organizational procedures and project managementStrong communication and interpersonal skills as well as collaborative team playerExperience in working in cross-functional and cross-cultural teams is a plusAccountability and ability to work independentlyAnalytical and problem-solving mindset with hands-on proactive approachGreat attention to detail and focus on flawless executionVery good German and English skills (fluent verbally and in writing) are a prerequisite"
Senior Consultant SAP MM - S/4HANA Sourcing and Procurement (m/w/d),cbs Corporate Business Solutions Unternehmensberatung GmbH,"Berlin, Leipzig, München, Stuttgart, Dortmund, Hamburg, Freiburg im Breisgau, Heidelberg, Raunheim",Feste Anstellung,"Homeoffice möglich, Vollzeit","Wir sind die Berater der Weltmarktführer: Hochmotivierte Expertinnen und Experten, die als erfolgreiches Team digitale End-to-End-Geschäftsprozesslösungen vorantreiben. Gemeinsam stärken wir die Zukunft der beeindruckendsten Unternehmen der Welt aus Maschinen- und Anlagenbau, Automotive, Life Science, Pharma und Chemie, mit denen wir viel gemeinsam haben.Unser ausgezeichneter Ruf bei Hidden Champions öffnet Dir die Türen für anspruchsvolle Projekte mit einzigartigen Gestaltungsmöglichkeiten. Werde Teil einer der besten und verlässlichsten Beratungen und nutze vielfältige Entwicklungschancen. Als engagiertes Teammitglied kannst Du bei uns schnell Verantwortung übernehmen und über Dich hinauswachsen. Du triffst auf ein starkes Team, das zusammenhält und wirklich etwas bewegen will.Als SAP & Prozessberater im Supply Chain & Manufacturing realisieren wir mit unseren Kunden eine gemeinsame Vision: Eine wettbewerbsfähige, intelligente und resiliente Supply Chain, die den Champions der Fertigungsindustrie nachhaltiges Wachstum in einem unsicheren Umfeld ermöglicht.Unsere SSCM Practice verbindet strategische Business Beratung mit tiefgreifender Umsetzungskompetenz in der IT - von der Strategie über den Produktentstehungsprozess (PLM), Produktion (PP / PS, DM, MES, PM), Lager (WM), Qualität (QM) und Beschaffung (MM) bis hin zu Vertrieb, Zollabwicklung und Service (SD, GTS, CX. S/4 Service). Durch umfassende Value Stream Kompetenzen von Design to Operate erzeugen wir kontinuierlichen Business Value – Strategy to Execution!Zur Verstärkung unseres Teams suchen wir erfahreneSAP S/4HANA Consultants (m/w/d)in den Bereichen Materialwirtschaft und Lager (SAP MM).","Erstklassiger Hochschulabschluss in BWL, (Wirtschafts-)Informatik, Maschinenbau, Logistik oder vergleichbare QualifikationMindestens 3 Jahre Berufserfahrung als SAP Logistikberater mit dem Schwerpunkt SAP MM in Prozess- und Optimierungsprojekten im Bereich LogsitikIdealerweise modulübergreifende Integrationskenntnisse im Bereich LogistikSelbstständige und proaktive Arbeitsweise, analytische und konzeptionelle Denkweise, ausgeprägte Kommunikationsfähigkeit auf Ebene des Teams und der Abteilungsleitung in multikulturellen UmgebungenSehr gute Deutsch- und EnglischkenntnisseReisebereitschaft, auch für gelegentliche Auslandseinsätze"
Consultant Microsoft Dynamics 365 (m/w/d) - bundesweit,HSO Enterprise Solutions GmbH,bundesweit,Feste Anstellung,"Homeoffice möglich, Vollzeit","Gestalte mit uns, wie Technologie Unternehmen verändert – und deine Karriere gleich mit.HSO gehört seit über 21 Jahren zum Microsoft Inner Circle – der exklusiven Top 1 % aller Partner weltweit – und wurde 26-mal als Microsoft Partner of the Year ausgezeichnet. Mit über 30 Jahren Erfahrung, 2.800 Mitarbeitenden aus 43 Nationen und 33 Standorten weltweit verbinden wir technologische Exzellenz mit tiefem Branchenverständnis.Bei HSO arbeitest du an innovativen Projekten, direkt an der Schnittstelle zwischen Business und moderner Microsoft Cloud – von Dynamics über Azure bis hin zu Data & AI.Du willst nicht nur beraten, sondern gestalten? Dann werde Teil von HSO und bring dein Know-how dorthin, wo es zählt: in internationale Projekte, moderne Technologien und ein Team, das deinen Anspruch teilt, besser zu sein als gestern.","WAS DICH AUSZEICHNET:Ein abgeschlossenes Studium in einem MINT-Studiengang, BWL, Supply-Chain-Management oder relevante Erfahrung mit Dynamics 365FO, bestenfalls in einem der Bereiche Professional Services, Manufacturing oder Financial Services.Du bringst erste Projekterfahrung in der Beratung von ERP-Systemen als Inhouse-Consultant und/oder für ein Beratungshaus mit.Erste Kenntnisse im Bereich Microsoft Dynamics 365 Finance & Operations sind schon vorhanden.Branchenkenntnisse aus einem der Bereiche Professional Services, Manufacturing oder Financial Services wären von Vorteil.Sehr gute Deutsch– und gute EnglischkenntnisseProjektbezogene Reisebereitschaft"
HR Business Partner (m/w/d),"Nestlé Deutschland AG, Werk Biessenhofen",Biessenhofen,Befristeter Vertrag,Teilzeit,"Nestlé eröffnet dir unendliche Möglichkeiten. Mit unseren auf der ganzen Welt beliebten Marken sind wir führend in Ernährung, Gesundheit und Wellness. Eine echte Chance, das Leben von Millionen Menschen positiv zu beeinflussen. Vom Frühstück bis zum Abendessen, von medizinischer Ernährung bis zum gesunden Snack für Vierbeiner, vom nachhaltigen Anbau bis zur umweltverträglichen Verpackung. So vieles ist schon da, mach es jetzt noch besser. In einem Team aus unterschiedlichsten Charakteren, die miteinander und voneinander lernen – be a force for good.Arbeiten, wo andere Urlaub machen: Biessenhofen liegt im Herzen des Allgäus, mit einem wundervollen Blick auf die Alpen und tollen Karriereaussichten.Hier sorgen wir mit bekannten Marken wie BEBA, NESTLÉ HEALTH SCIENCE oder THOMY für eine ausgewogene Ernährung. In Deutschland und auf der ganzen Welt. Diesen Arbeitsplatz gibt man so schnell nicht mehr her.Das Wichtigste auf einen Blick:Standort: Biessenhofen/AllgäuBereich: Human ResourcesArbeitszeit: Teilzeit (50%, 19 h/Wo)Vertrag: zunächst befristet bis 31.12.2026Start: so bald wie möglichReisen: nicht erforderlich","Du hast ein abgeschlossenes Studium (z. B. BWL, Jura mit Schwerpunkt Personal) oder eine Weiterbildung zum/zur Personalfachkaufmann/-frau.Idealerweise konntest du bereits erste Berufserfahrung in einer vergleichbaren Rolle sammeln.Du überzeugst mit Kommunikationsstärke, Empathie und einem sicheren, souveränen Auftreten – auch in schwierigen Gesprächen.Du arbeitest eigenverantwortlich, strukturiert und behältst auch in komplexen Situationen den Überblick.Du verfügst über fundierte Kenntnisse im Arbeits- und Betriebsverfassungsrecht und kannst diese praxisnah anwenden.Fließende Deutsch sowie gute Englisch Kenntnisse und ein sicherer Umgang mit MS-Office runden dein Profil ab."
